HANA_TABLE,HANA_COLUMN,DATA_TYPE,LENGTH,NULLABLE,DEFAULT_VALUE,DESCRIPTION
EMLATracker_EMLACustomers,createdBy,NVARCHAR,255,NULL,,User ID of the person who created the record (inherited from managed aspect).
EMLATracker_EMLACustomers,modifiedAt,TIMESTAMP,,NULL,,Timestamp of the last modification (inherited from managed aspect).
EMLATracker_EMLACustomers,modifiedBy,NVARCHAR,255,NULL,,User ID of the person who last modified the record (inherited from managed aspect).
EMLATracker_OnboardAdvisors,onbAdvisor,NVARCHAR,5000,NOT NULL,,Unique identifier or username for the onboarding advisor. Primary key.
EMLATracker_OnboardAdvisors,name,NVARCHAR,5000,NULL,,Full name of the onboarding advisor.
EMLATracker_OnboardAdvisors,email,NVARCHAR,5000,NULL,,Email address for the advisor. Used for notifications and contact.
EMLATracker_AnalyzeEngagementProgress,ID,NVARCHAR,36,NOT NULL,,Unique identifier for each progress record.
EMLATracker_AnalyzeEngagementProgress,btpOnboardingAdvisor_userId,NVARCHAR,5000,NULL,,User ID of the BTP onboarding advisor responsible for this engagement task.
EMLATracker_AnalyzeEngagementProgress,status,NVARCHAR,5000,NULL,,High-level status code for the engagement task.
EMLATracker_AnalyzeEngagementProgress,detailedStatusName,NVARCHAR,5000,NULL,,Human-readable detailed status description providing more context.
EMLATracker_AnalyzeEngagementProgress,engagementTaskName,NVARCHAR,5000,NULL,,Name/description of the specific engagement task or milestone being tracked.
EMLATracker_AnalyzeEngagementProgress,customerId,NVARCHAR,5000,NULL,,Reference to the customer (may link to EMLACustomers.externalID or customerNumber).
EMLATracker_AnalyzeEngagementProgress,DATE,DATE,,NULL,,"Date associated with this progress entry (e.g. task completion date, status change date). Note: Column name is quoted in HANA as ""DATE"" because it's a reserved keyword."
